Initializing Solar Radiometer........,
The sun was at a zenith of 53.8088 and an azimuth (servo angle) of 46.1514,
21:47:00 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.88
The sun was at a zenith of 53.9513 and an azimuth (servo angle) of 45.8317,
21:48:11 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.91
The sun was at a zenith of 54.0963 and an azimuth (servo angle) of 45.5116,
21:49:22 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.85
The sun was at a zenith of 54.2413 and an azimuth (servo angle) of 45.1934,
21:50:33 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.86
The sun was at a zenith of 54.3866 and an azimuth (servo angle) of 44.8774,
21:51:44 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.87
The sun was at a zenith of 54.5340 and an azimuth (servo angle) of 44.5607,
21:52:55 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.79
The sun was at a zenith of 54.6815 and an azimuth (servo angle) of 44.2460,
21:54:06 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.9
The sun was at a zenith of 54.8272 and an azimuth (servo angle) of 43.9375,
21:55:16 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.91
The sun was at a zenith of 54.9762 and an azimuth (servo angle) of 43.6250,
21:56:27 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.84
The sun was at a zenith of 55.1260 and an azimuth (servo angle) of 43.3136,
21:57:38 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.87
The sun was at a zenith of 55.2765 and an azimuth (servo angle) of 43.0033,
21:58:49 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.89
The sun was at a zenith of 55.4286 and an azimuth (servo angle) of 42.6935,
22:00:00 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.88
The sun was at a zenith of 55.5802 and an azimuth (servo angle) of 42.3864,
22:01:11 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.87
The sun was at a zenith of 55.7330 and an azimuth (servo angle) of 42.0795,
22:02:22 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.84
The sun was at a zenith of 55.8865 and an azimuth (servo angle) of 41.7736,
22:03:33 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.83
The sun was at a zenith of 56.0408 and an azimuth (servo angle) of 41.4689,
22:04:44 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.78
The sun was at a zenith of 56.1953 and an azimuth (servo angle) of 41.1662,
22:05:55 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.76
The sun was at a zenith of 56.3519 and an azimuth (servo angle) of 40.8630,
22:07:06 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.76
The sun was at a zenith of 56.5083 and an azimuth (servo angle) of 40.5615,
22:08:17 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.81
The sun was at a zenith of 56.6655 and an azimuth (servo angle) of 40.2611,
22:09:28 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.77
The sun was at a zenith of 56.8228 and an azimuth (servo angle) of 39.9627,
22:10:39 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.83
The sun was at a zenith of 56.9813 and an azimuth (servo angle) of 39.6644,
22:11:50 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.76
The sun was at a zenith of 57.1406 and an azimuth (servo angle) of 39.3672,
22:13:01 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.78
The sun was at a zenith of 57.3005 and an azimuth (servo angle) of 39.0710,
22:14:12 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.76
The sun was at a zenith of 57.4613 and an azimuth (servo angle) of 38.7762,
22:15:23 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.78
The sun was at a zenith of 57.6226 and an azimuth (servo angle) of 38.4821,
22:16:34 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.75
The sun was at a zenith of 57.7845 and an azimuth (servo angle) of 38.1891,
22:17:45 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.75
The sun was at a zenith of 57.9479 and an azimuth (servo angle) of 37.8964,
22:18:56 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.44
The sun was at a zenith of 58.1103 and an azimuth (servo angle) of 37.6060,
22:20:07 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.57
The sun was at a zenith of 58.2736 and an azimuth (servo angle) of 37.3170,
22:21:18 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.71
The sun was at a zenith of 58.4389 and an azimuth (servo angle) of 37.0274,
22:22:29 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.69
The sun was at a zenith of 58.6040 and an azimuth (servo angle) of 36.7394,
22:23:40 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.31
The sun was at a zenith of 58.7697 and an azimuth (servo angle) of 36.4525,
22:24:51 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.57
The sun was at a zenith of 58.9363 and an azimuth (servo angle) of 36.1668,
22:26:02 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.52
The sun was at a zenith of 59.1033 and an azimuth (servo angle) of 35.8818,
22:27:13 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.73
The sun was at a zenith of 59.2700 and an azimuth (servo angle) of 35.5984,
22:28:24 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.7
The sun was at a zenith of 59.4390 and an azimuth (servo angle) of 35.3147,
22:29:35 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.65
The sun was at a zenith of 59.6072 and an azimuth (servo angle) of 35.0336,
22:30:46 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.68
The sun was at a zenith of 59.7765 and an azimuth (servo angle) of 34.7524,
22:31:57 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.63
The sun was at a zenith of 59.9473 and an azimuth (servo angle) of 34.4717,
22:33:08 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.68
The sun was at a zenith of 60.1177 and an azimuth (servo angle) of 34.1924,
22:34:19 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.65
The sun was at a zenith of 60.2874 and an azimuth (servo angle) of 33.9156,
22:35:30 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.66
The sun was at a zenith of 60.4590 and an azimuth (servo angle) of 33.6383,
22:36:41 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.62
The sun was at a zenith of 60.6320 and an azimuth (servo angle) of 33.3613,
22:37:52 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.64
The sun was at a zenith of 60.8047 and an azimuth (servo angle) of 33.0857,
22:39:03 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.61
The sun was at a zenith of 60.9773 and an azimuth (servo angle) of 32.8120,
22:40:14 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.55
The sun was at a zenith of 61.1520 and an azimuth (servo angle) of 32.5378,
22:41:25 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.56
The sun was at a zenith of 61.3263 and an azimuth (servo angle) of 32.2649,
22:42:36 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.56
The sun was at a zenith of 61.5003 and an azimuth (servo angle) of 31.9936,
22:43:47 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.57
The sun was at a zenith of 61.6765 and an azimuth (servo angle) of 31.7220,
22:44:58 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.61
The sun was at a zenith of 61.8518 and an azimuth (servo angle) of 31.4527,
22:46:09 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.5
The sun was at a zenith of 62.0282 and an azimuth (servo angle) of 31.1835,
22:47:20 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.06
The sun was at a zenith of 62.2059 and an azimuth (servo angle) of 30.9145,
22:48:31 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
Maximum Average Voltage (V): ,4.47
The sun was at a zenith of 62.3833 and an azimuth (servo angle) of 30.6469,
22:49:42 22 3 2022,
Moving to corresponding position...,
Performing grid search...,
